citation,text
BGE 133 I 270 E. 3.4.2,"Gemäss Art. 31 Abs. 3 BV und Art. 5 Ziff. 3 EMRK hat eine in strafprozessualer Haft gehaltene Person Anspruch darauf, innerhalb einer angemessenen Frist richterlich beurteilt oder während des Strafverfahrens aus der Haft entlassen zu werden. Eine übermässige Haftdauer stellt eine unverhältnismässige Beschränkung dieses Grundrechts dar. Sie liegt dann vor, wenn die Haftfrist die mutmassliche Dauer der zu erwartenden freiheitsentziehenden Sanktion übersteigt. Bei der Prüfung der Verhältnismässigkeit der Haftdauer ist namentlich der Schwere der untersuchten Straftaten Rechnung zu tragen. Der Richter darf die Haft nur so lange erstrecken, als sie nicht in grosse zeitliche Nähe der (im Falle einer rechtskräftigen Verurteilung) konkret zu erwartenden Dauer der freiheitsentziehenden Sanktion rückt. Im Weiteren kann eine Haft die zulässige Dauer auch dann überschreiten, wenn das Strafverfahren nicht genügend vorangetrieben wird, wobei sowohl das Verhalten der Justizbehörden als auch dasjenige des Inhaftierten in Betracht gezogen werden müssen. Nach der übereinstimmenden Rechtsprechung des Bundesgerichtes und des Europäischen Gerichtshofs für Menschenrechte ist die Frage, ob eine Haftdauer als übermässig bezeichnet werden muss, aufgrund der konkreten Verhältnisse des einzelnen Falles zu beurteilen (BGE 132 I 21 E. 4.1 S. 27 f.; BGE 128 I 149 E. 2.2 S. 151, je mit Hinweisen). Für die Beurteilung der Verhältnismässigkeit der Haft spielt es jedoch grundsätzlich keine Rolle, dass für die in Aussicht BGE 133 I 270 S. 282 stehende Freiheitsstrafe gegebenenfalls der bedingte oder teilbedingte Vollzug gewährt werden kann (Urteil des Bundesgerichts 1B_6/ 2007 vom 20. Februar 2007, E. 2.5; BGE 125 I 60 E. 3d S. 64; BGE 124 I 208 E. 6 S. 215; Urteil 1P.686/1995 vom 22. Dezember 1995, publ. in: EuGRZ 1998 S. 514, E. 3). Der grossen zeitlichen Nähe der konkret zu erwartenden Freiheitsstrafe ist aber auch besondere Beachtung zu schenken, weil der Strafrichter dazu neigen könnte, die Dauer der nach Art. 51 StGB anrechenbaren Untersuchungshaft bei der Strafzumessung mitzuberücksichtigen (BGE 133 I 168 E. 4.1 S. 170 mit Hinweisen)."
BGE 127 III 147 E. 2c,"Les parties ne se sont pas bornées à conclure un contrat de compte courant; elles ont aussi adopté l'art. 7 des conditions générales de la défenderesse. Cette clause contractuelle prévoit qu'il incombe au client, en cas de désaccord, de réagir immédiatement à l'égard de toute communication de la banque (et non pas seulement lorsqu'il s'agit d'établir un solde de compte). Certes, cette clause générale ne fixe pas un délai précis pour réagir, mais elle prévoit en revanche clairement, pour ce qui est des relevés de compte périodiques, que les contestations doivent être présentées dans le délai d'un mois. Cette exigence d'une BGE 127 III 147 S. 151 réclamation dans un certain délai n'est pas sans rappeler l'art. 454 al. 2 CO. On peut donc se demander si l'on ne se trouve pas en présence d'une clause instituant une péremption conventionnelle. La jurisprudence a d'ailleurs reconnu, au sujet de ce même art. 7 des conditions générales, que la défenderesse avait un intérêt légitime à connaître rapidement les postes contestés (arrêt du 7 décembre 1984 publié in: SJ 1985 p. 246 ss consid. 2). Il n'est toutefois pas nécessaire d'approfondir la question sous cet angle."
BGE 124 III 5 E. 4,"Die Beurteilung der Urteilsfähigkeit einer Person umfasst sowohl Feststellung von Tatsachen als auch Anwendung von Bundesrecht, wobei die Abgrenzung sich im Einzelfall als schwierig erweisen kann: Der Sachrichter stellt den geistigen Zustand einer Person im fraglichen Zeitraum sowie Art und Tragweite möglicher störender Einwirkungen fest; dazu gehört insbesondere, ob und inwieweit die Erblasserin zur Beurteilung der Folgen ihres Handelns und zur Leistung von Widerstand gegenüber Versuchen der Willensbeeinflussung befähigt war. Diese tatsächlichen Feststellungen können vom Bundesgericht im Berufungsverfahren unter Vorbehalt offensichtlicher Versehen nicht überprüft werden (Art. 55 Abs. 1 lit. c und d und 63 Abs. 2 OG). Hingegen prüft das Bundesgericht frei, ob der kantonale Richter zu Recht oder zu Unrecht vom festgestellten geistigen Gesundheitszustand bzw. diesbezüglichen Störungen auf die Urteilsfähigkeit geschlossen habe, soweit dies vom Begriff der Urteilsfähigkeit selbst abhängt bzw. von der allgemeinen Lebenserfahrung oder vom hohen Grad der Wahrscheinlichkeit, der für den Ausschluss dieser Fähigkeit erforderlich ist (BGE 117 II 231 E. 2c S. 235 m.w.H.)."
BGE 130 III 417 E. 3.2,"En l'espèce, il n'apparaît pas que la cour cantonale a pu déterminer la volonté commune et réelle des parties contractantes à l'accord du 4 novembre"
BGE 130 III 585 E. 2.1,"Eltern, denen die elterliche Sorge oder Obhut nicht zusteht, und das unmündige Kind haben gegenseitig Anspruch auf angemessenen persönlichen Verkehr (Art. 273 Abs. 1 ZGB). Die Vorstellungen darüber, was in durchschnittlichen Verhältnissen als angemessenes Besuchsrecht zu gelten habe, gehen in Lehre und Praxis auseinander, wobei regionale Unterschiede festzustellen sind und eine Tendenz zur Ausdehnung des Besuchsrechts besteht (vgl. statt vieler: SCHWENZER, Basler Kommentar, N. 15 zu Art. 273 ZGB). Auch wenn solchen Übungen bei der Bemessung des Besuchsrechts eine gewisse Bedeutung zukommt, kann im Einzelfall nicht allein darauf abgestellt werden (BGE 123 III 445 E. 3a S. 451). Vielmehr gilt als oberste Richtschnur für die Ausgestaltung des BGE 130 III 585 S. 588 Besuchsrechts immer das Kindeswohl, das anhand der Umstände des konkreten Einzelfalls zu beurteilen ist; allfällige Interessen der Eltern haben zurückzustehen (BGE 127 III 295 E. 4a S. 298; BGE 123 III 445 E. 3b S. 451)."
BGE 130 III 585 E. 2.2.1,"Die kantonale Praxis neigt dazu, das Besuchsrecht im Streitfall weniger grosszügig zu bemessen als bei gutem Einvernehmen der Eltern. Das Bundesgericht hat in einem neueren Entscheid eine moderate Einschränkung - konkret ging es um ein Besuchsrecht an jedem dritten statt an jedem zweiten Wochenende sowie um ein Ferienrecht von zwei statt von drei Wochen - wegen bestehender Spannungen zwischen den Eltern und eines damit zusammenhängenden Loyalitätskonflikts des Kindes geschützt (Urteil 5C.176/2001 vom 15. November 2001, E. 2). Diese Praxis mag auf den ersten Blick als wenig sachgerecht erscheinen, soweit das Einvernehmen zwischen dem besuchsberechtigten Elternteil und dem Kind gut ist. Es entspricht jedoch der allgemeinen Erfahrung, dass für ein Kind durch individuelles Fehlverhalten eines oder beider Eltern, meist aber viel deutlicher durch das Spannungsfeld, das die Eltern gemeinsam erzeugen, Belastungen entstehen (FELDER, Kinder und ihre Familien in schwierigen psychosozialen Verhältnissen, in: Die Rechte des Kindes/Das UNO-Übereinkommen und seine Auswirkungen auf die Schweiz, Basel 2001, S. 210). Zudem können beim Kind durch ein häufiges Hin und Her zwischen den Elternteilen Loyalitätskonflikte hervorgerufen werden (BGE 123 III 445 E. 3b S. 451). Insofern erfolgt die Einschränkung des persönlichen Verkehrs im Kindeswohl, das für die Bemessung des Besuchsrechts in erster Linie ausschlaggebend ist und hinter das - beidseitig - die Interessen der Eltern zurückzustehen haben (BGE 127 III 295 E. 4a S. 298; BGE 123 III 445 E. 3b S. 451). BGE 130 III 585 S. 589 Ist das Verhältnis zwischen dem besuchsberechtigten Elternteil und dem Kind gut, dürfen jedoch Konfliktsituationen, wie sie in jeder Scheidung auftreten können, nicht zu einer einschneidenden Beschränkung des Besuchsrechts auf unbestimmte Zeit führen: Es wäre unhaltbar, wenn der obhutsberechtigte Elternteil es in der Hand hätte, gewissermassen durch Zwistigkeiten mit dem anderen Teil den Umfang des Besuchsrechts zu steuern. In diesem Sinn ist auch zu bedenken, dass für einen allfälligen Loyalitätskonflikt des Kindes in erster Linie die Eltern verantwortlich sind, was ihnen allerdings oftmals nicht bewusst ist (BRÄM, Das Besuchsrecht geschiedener Eltern, in: AJP 1994 S. 902). Den obhutsberechtigten Elternteil trifft die Pflicht, die Beziehung zwischen dem Kind und dem anderen Teil zu fördern und das Kind für die Kontaktpflege positiv vorzubereiten. Schliesslich darf nicht übersehen werden, dass ein allfälliger Loyalitätskonflikt nicht nur bei Wochenendbesuchen oder anlässlich der Ausübung des Ferienrechts, sondern ebenso gut bei tägigen oder gar halbtägigen Besuchen auftreten kann. Desgleichen lässt sich auch das mit der Ausübung des Besuchsrechts zwangsläufig verbundene Hin und Her bzw. der damit notwendig einhergehende Wechsel in der betreuenden Person nicht vermeiden. In der einschlägigen Literatur wird denn auch die blockweise Ausübung des Besuchsrechts empfohlen, damit anfängliche Beunruhigungen wieder abklingen können (vgl. ARNTZEN, Elterliche Sorge und Umgang mit Kindern, 2. Aufl., München 1994, S. 49). Im vorliegenden Fall hat das Obergericht die massive Einschränkung des Besuchsrechts massgeblich mit den unvereinbaren Positionen zwischen den Eltern begründet. Indes lassen sich dem angefochtenen Urteil keine Feststellungen dahingehend entnehmen, dass das Wohl der beiden Kinder wegen der Spannungen zwischen den Eltern unmittelbar gefährdet wäre. Das Amtsgericht, auf dessen Erwägungen das Obergericht verweist, hat denn auch festgestellt, dass sich die Kinder jeweils auf die Besuche freuten und gerne nach C. gingen; sie würden sich dort beim Vater wohl fühlen, und dieser pflege mit ihnen auch einen guten und angemessenen Umgang."
BGE 127 V 205 E. 4b,"Das Eidg. Versicherungsgericht hat sich in BGE 126 V 151 Erw. 4b nicht dazu geäussert, unter welchen Voraussetzungen der Sozialversicherer bei mutwilliger oder leichtsinniger Prozessführung der versicherten Person im kantonalen Verfahren eine Parteientschädigung geltend machen kann. Es rechtfertigt sich jedoch, von den in BGE 110 V 134 Erw. 4d gemachten Ausführungen zur Zusprechung einer Parteientschädigung an eine unverbeiständete Partei auszugehen. Danach ist für persönlichen Arbeitsaufwand und Umtriebe keine Parteientschädigung zu gewähren, wobei aber ausnahmsweise von diesem Grundsatz abgewichen werden darf, wenn besondere Verhältnisse gegeben sind. Eine solche Ausnahmesituation ist anzunehmen, wenn folgende Voraussetzungen kumulativ gegeben sind: Es muss sich um eine komplizierte Sache mit hohem Streitwert handeln. Ferner muss die Interessenwahrung einen hohen Arbeitsaufwand notwendig machen, der den Rahmen dessen überschreitet, was der einzelne üblicher- und zumutbarerweise nebenbei zur Besorgung der persönlichen Angelegenheiten auf sich zu nehmen hat; erforderlich ist somit ein Arbeitsaufwand, welcher die normale (z.B. erwerbliche) Betätigung während einiger Zeit erheblich beeinträchtigt. Und schliesslich hat zwischen dem betriebenen Aufwand und dem Ergebnis der Interessenwahrung ein vernünftiges Verhältnis zu bestehen (BGE 110 V 82 Erw. 7 und 135 Erw. 4d; vgl. auch AHI 2000 S. 330 Erw. 5). Ob die dargelegten Voraussetzungen für die Zusprechung einer Parteientschädigung kumulativ erfüllt sind, beurteilt sich nach den konkreten Verhältnissen der Partei, welche eine Entschädigung geltend macht (ZAK 1989 S. 257 Erw. 5c)."
BGE 121 IV 207 E. 2a,"La recourante soutient qu'en admettant une rupture du rapport de causalité adéquate, la cour cantonale a violé l'art. 125 CP. Selon l'art. 125 al. 1 CP, ""celui qui, par négligence, aura fait subir à une personne une atteinte à l'intégrité corporelle ou à la santé sera, sur plainte, puni de l'emprisonnement ou de l'amende"". L'art. 125 al. 2 CP prévoit que si la lésion est grave - tel que cela est admis en l'espèce - l'auteur sera poursuivi d'office. L'art. 18 al. 3 CP donne une définition de la négligence: ""celui-là commet un crime ou un délit par négligence, qui, par une imprévoyance coupable, agit sans se rendre compte ou sans tenir compte des conséquences de son acte. L'imprévoyance est coupable quand l'auteur de l'acte n'a pas usé des précautions commandées par les circonstances et par sa situation personnelle"". Pour qu'il y ait lésions corporelles par négligence, il faut tout d'abord que l'auteur ait, d'une part, violé les règles de prudence que les circonstances lui imposaient pour ne pas excéder les limites du risque admissible et que, d'autre part, il n'ait pas déployé l'attention et les efforts que l'on pouvait attendre de lui pour se conformer à son devoir (cf. ATF 116 IV 306 consid. 1a et les références citées). Pour déterminer plus précisément quels étaient les devoirs imposés par la prudence, on peut se référer à des normes édictées par l'ordre juridique pour assurer la sécurité et éviter des accidents (ATF 118 IV 130 consid. 3a, ATF 116 IV 306 consid. 1a, ATF 114 IV 173 consid. 2a). A défaut de dispositions légales ou réglementaires, on peut se référer à des règles analogues qui émanent d'associations privées ou semi-publiques lorsqu'elles sont généralement reconnues (ATF 118 IV 130 consid. 3a, ATF 115 IV 189 consid. 3b p. 192 s.). La violation des devoirs de la prudence peut aussi être déduite des principes généraux, si aucune règle spéciale de sécurité n'a été violée (Stratenwerth, Allgemeiner Teil I, Berne 1982, p. 406 no 24; Donatsch, Sorgfaltsbemessung und Erfolg beim Fahrlässigkeitsdelikt, Zurich 1987, p. 296 ss). Un comportement viole le devoir de prudence lorsque l'auteur, au moment des faits, aurait pu, compte tenu de ses connaissances et de ses capacités, se rendre compte de la mise en danger d'autrui et qu'il a simultanément dépassé les limites du risque admissible (ATF 118 IV 130 consid. 3). Une omission ne peut lui être reprochée que dans la mesure où il avait un devoir juridique d'agir découlant d'une position de garant (cf. ATF 115 IV 199 consid. 2b et c, ATF 108 IV 3 consid. 1b, ATF 100 IV 210 consid. 2a et b). S'il y a eu violation des devoirs de la prudence, il faut encore que celle-ci puisse être imputée à faute, c'est-à-dire que l'on puisse BGE 121 IV 207 S. 212 reprocher à l'auteur, compte tenu de ses circonstances personnelles, d'avoir fait preuve d'un manque d'effort blâmable (STRATENWERTH, op.cit., p. 397 no 1). Même si l'auteur a violé, d'un point de vue objectif, les devoirs de la prudence en adoptant un comportement dangereux, on doit encore se demander si son attitude n'est pas justifiée par un devoir légal, de fonction ou de profession (art. 32 CP), par la légitime défense (art. 33 CP) ou par l'état de nécessité (art. 34 CP). En ce qui concerne plus particulièrement le devoir de fonction, c'est le droit cantonal ou communal qui détermine, pour les agents publics cantonaux ou communaux, s'il existe un devoir de fonction et quelle en est l'étendue; déterminer si un tel devoir constitue un fait justificatif dépend de l'art. 32 CP, de sorte que l'ensemble de la question relève du droit fédéral (ATF 115 IV 162 consid. 2a p. 165, ATF 111 IV 113 consid. 4); indépendamment des dispositions particulières, l'acte de l'agent public ne peut être justifié par le devoir de fonction que s'il respecte le principe de la proportionnalité (ATF 111 IV 113 consid. 2 p. 116). Par ailleurs, un policier peut invoquer, comme tout autre citoyen, le droit à la légitime défense, qui est régi exclusivement par le droit fédéral, à savoir l'art. 33 CP (ATF 115 IV 162 consid. 2a p. 164 s.). Pour qu'il y ait lésions corporelles par négligence, il ne suffit pas de constater la violation fautive d'un devoir de prudence d'une part et la survenance des lésions corporelles d'autre part, il faut encore qu'il existe un rapport de causalité entre cette violation et les lésions subies (art. 125 al. 1 CP). Un comportement est la cause naturelle d'un résultat s'il en constitue l'une des conditions sine qua non (ATF 116 IV 306 consid. 2a, ATF 115 IV 199 consid. 5b et les références citées). La constatation du rapport de causalité naturelle relève du fait, ce qui la soustrait au contrôle de la Cour de cassation (ATF ATF 117 IV 130 consid. 2a p. 133 s., ATF 115 IV 100 consid. 2a, ATF 103 IV 289 consid. 1 p. 291). Il y a toutefois violation du droit fédéral si l'autorité cantonale méconnaît le concept même de la causalité naturelle (ATF 117 IV 130 consid. 2a p. 134, ATF 101 IV 149 consid. 2b). Si la causalité naturelle est retenue, il faut encore se demander si le rapport de causalité peut être qualifié d'adéquat, c'est-à-dire si le comportement était propre, d'après le cours ordinaire des choses et l'expérience de la vie, à entraîner un résultat du genre de celui qui s'est produit (ATF 118 IV 130 consid. 3c, ATF 115 IV 100 consid. 2b, 241 consid. 3, BGE 121 IV 207 S. 213 ATF 101 IV 67 consid. 2b et les arrêts cités). Il s'agit là d'une question de droit que la Cour de cassation revoit librement (ATF 117 IV 130 consid. 2a p. 134). La causalité adéquate peut cependant être exclue, l'enchaînement des faits perdant sa portée juridique, si une autre cause concomitante, par exemple une force naturelle, le comportement de la victime ou d'un tiers, constitue une circonstance tout à fait exceptionnelle ou apparaît si extraordinaire, que l'on ne pouvait pas s'y attendre; l'imprévisibilité d'un acte concurrent ne suffit pas en soi à interrompre le rapport de causalité adéquate; il faut encore que cet acte ait une importance telle qu'il s'impose comme la cause la plus probable et la plus immédiate de l'événement considéré, reléguant à l'arrière-plan tous les autres facteurs qui ont contribué à l'amener et notamment le comportement de l'auteur (ATF 115 IV 100 consid. 2b, ATF 100 IV 279 consid. 3d p. 284 et les arrêts cités)."
BGE 124 V 108 E. 2b,"Der Umschulungsanspruch setzt eine Invalidität oder die unmittelbare Bedrohung durch eine solche voraus (Art. 8 Abs. 1 IVG). Als invalid im Sinne von Art. 17 IVG gilt, wer nicht hinreichend eingegliedert ist, weil der Gesundheitsschaden eine Art und Schwere erreicht hat, welche die Ausübung der bisherigen Erwerbstätigkeit ganz oder teilweise unzumutbar macht. Dabei muss der Invaliditätsgrad ein bestimmtes erhebliches Mass erreicht haben; nach der Rechtsprechung ist dies der Fall, wenn der Versicherte in den ohne zusätzliche berufliche Ausbildung noch zumutbaren BGE 124 V 108 S. 111 Erwerbstätigkeiten eine bleibende oder längere Zeit dauernde Erwerbseinbusse von etwa 20 Prozent erleidet (AHI 1997 S. 80 Erw. 1b; ZAK 1984 S. 91 oben, 1966 S. 439 Erw. 3)."
BGE 146 III 326 E. 5.2,"En l'espèce, il n'est pas contesté que les 6 ordres encore litigieux, donnés entre le 1 er décembre 2015 et le 4 janvier 2016, émanaient de tiers inconnus agissant dans un but frauduleux. Ils ont donc été exécutés sans mandat du client."
BGE 146 III 326 E. 6.1,"Selon la jurisprudence, il est habituel que les conditions générales des banques auxquelles le client adhère comportent une clause dite de transfert de risque. Généralement, cette clause prévoit que le dommage résultant de défauts de légitimation ou de faux non décelés est à la charge du client, sauf en cas de faute grave de la banque (GUGGENHEIM/GUGGENHEIM, Les contrats de la pratique bancaire suisse, 5 e éd. 2014, n. 339). Par l'effet de cette clause, le risque normalement supporté par la banque est ainsi reporté sur le client ( ATF 132 III 449 consid. 2 p. 452; ATF 122 III 26 consid. 4a p. 32; ATF 112 II 450 consid. 3a p. 454). Il ne s'agit pas à proprement parler d'une clause qui aurait pour effet d'exclure ou de limiter la responsabilité contractuelle de la banque, laquelle n'est pas en cause puisqu'il ne s'agit pas là d'inexécution ou d'exécution imparfaite du contrat, mais d'une clause de transfert sur la tête du client du risque que la banque doit en principe supporter en cas d'exécution en main d'une personne non autorisée; cette clause met préventivement à la charge du client le dommage subi par la banque ( Schadensabwälzung ) et institue, par conséquent, une responsabilité du premier envers la seconde, qui s'étend même aux cas fortuits ( Zufallshaftung ) ( ATF 112 II 450 consid. 3a p. 454; arrêt 4A_379/2016 précité consid. 3.3.1). La validité d'une telle clause doit être examinée par application analogique des art. 100 et 101 al. 3 CO, qui régissent les conventions d'exonération de la responsabilité pour inexécution ou exécution BGE 146 III 326 S. 333 imparfaite du contrat, et ce bien que la clause de transfert de risque ne relève pas de l'inexécution contractuelle au sens des art. 97 ss CO ( ATF 112 II 450 consid. 3a p. 455; arrêts 4A_386/2016 du 5 décembre 2016 consid. 2.2.4; 4A_54/2009 du 20 avril 2009 consid. 1). Par conséquent, si un dol ou une faute grave est imputable à la banque, la clause d'exonération est nulle (art. 100 al. 1 CO; pour des critiques quant à l'admission de la clause de transfert de risque, cf. GAUCH, Die Vertragshaftung der Banken und ihre AVB, recht 2006 p. 77 ss, 79; BUCHER, Wie lange noch Belastung des Kunden mit den Fälschungsrisiken im Bankenverkehr?, recht 1997 p. 41 ss, 42-43; BRACHER, Legitimationsprüfung und Risikotransfer bei E-Mail-Zahlungsaufträgen, SZW 2018 p. 156 ss, 158-159 et les références). Les mêmes principes doivent s'appliquer lorsque les parties sont convenues d'une décharge pour les instructions transmises par le client par téléphone, par téléfax ou par e-mail, qui autorise la banque à exécuter les instructions lui parvenant par l'un de ces moyens de transmission, et transfère les risques en découlant sur la tête du client, y compris les cas fortuits. Est réservée la faute grave de la banque, conformément à l'art. 100 al. 1 CO applicable par analogie."
BGE 149 IV 42 E. 3.5,"In Würdigung des Vorstehenden besteht kein Anlass für eine Praxisänderung. Art. 333 Abs. 1 StPO ist folglich nicht über seinen klaren Wortlaut hinaus auch anzuwenden, wenn die Anklage innerhalb des angeklagten Straftatbestandes geändert werden soll, weil etwa wie im vorliegenden Fall in der Anklageschrift nicht alle tatsächlichen Umstände aufgeführt sind, aus denen sich die Pflichtwidrigkeit des vorgeworfenen Verhaltens (möglicherweise) ergeben könnte. Dass der Beschwerdegegner 1 wegen eines anderen Straftatbestands als der fahrlässigen Tötung zu verurteilen wäre, steht nicht zur Diskussion. Damit liegen die Voraussetzungen von Art. 333 Abs. 1 StPO nicht vor. Insofern besteht auch kein Raum für die von der Beschwerdeführerin unter Hinweis auf STEPHENSON/ZALUNARDO-WALSER (in: Basler Kommentar, Schweizerische Strafprozessordnung, Jugendstrafprozessordnung, 2. Aufl. 2014, N. 4 f. zu Art. 333 StPO) geforderten Abwägung zwischen dem Interesse des Beschuldigten, sich auf die Anklage verlassen zu können, und dem öffentlichen Interesse an der Ahndung strafbarer Handlungen. Entgegen dem Vorbringen der Beschwerdeführerin geht aus dieser Kommentarstelle sodann gerade nicht hervor, dass diese Autoren ihrer Meinung sind und eine Änderung der Anklage nach Art. 333 Abs. 1 StPO auch zulassen wollen, wenn darin nicht alle Tatbestandsvoraussetzungen der bereits BGE 149 IV 42 S. 49 angeklagten Straftat hinreichend umschrieben sind. Vielmehr setzen sich STEPHENSON/ZALUNARDO-WALSER an der zitierten Stelle lediglich mit der Frage auseinander, ob eine Änderung der Anklage im Sinne von Art. 333 Abs. 1 StPO auch zulässig sein soll, wenn neue Tatbestandselemente hinzugefügt werden sollen; gewisse Lehrmeinungen würden diesbezüglich zur Zurückhaltung drängen. Als Beispiel nennen sie dabei die Situation bei einer angeklagten vorsätzlichen Körperverletzung (Art. 122 f. StGB), die sich als fahrlässige Körperverletzung (Art. 125 StGB) herausstelle, mithin der in Art. 333 Abs. 1 StPO explizit genannte Fall, bei dem das Gericht zur Auffassung kommt, der in der Anklageschrift umschriebene Sachverhalt könnte einen anderen - und eben gerade nicht den gleichen - Straftatbestand erfüllen (STEPHENSON/ZALUNARDO-WALSER, a.a.O., N. 3 f. zu Art. 333 StPO). Ferner erklären sie sogar ausdrücklich, Art. 333 Abs. 1 StPO beziehe sich seinem klaren Wortlaut nach auf die Konstellation, wonach der umschriebene Sachverhalt auch zu einer anderen als der von der Staatsanwaltschaft vorgenommenen rechtlichen Subsumtion führen könnte, für diese andere Strafnorm jedoch die erforderlichen Tatbestandselemente nicht beschrieben seien (STEPHENSON/ZALUNARDO-WALSER, a.a.O., N. 6 zu Art. 333 StPO). Die Unterlassung der Staatsanwaltschaft, in der Anklageschrift alle tatsächlichen Feststellungen darzulegen, aus denen sich allenfalls die Pflichtwidrigkeit des inkriminierten Verhaltens ergeben könnte, kann somit nicht zur Verpflichtung des Gerichts führen, ihr Gelegenheit zur Anklageänderung zu geben (so schon Urteil 6B_963/ 2015 vom 19. Mai 2016 E. 1.5; zustimmend EICKER/MANGO-MEIER, Rechtsprechung des Bundesgerichts zum Strassenverkehrsstrafrecht, in: Jahrbuch zum Strassenverkehrsrecht 2017, S. 130 f. Rz. 23)."
BGE 140 I 285 E. 6.3.1,"Selon la maxime inquisitoire, qui prévaut en particulier en droit public, l'autorité définit les faits pertinents et ne tient pour existants que ceux qui sont dûment prouvés; elle oblige notamment les autorités compétentes à prendre en considération d'office l'ensemble des pièces pertinentes qui ont été versées au dossier. Elle ne dispense pas pour autant les parties de collaborer à l'établissement des faits (arrêts 2C_1021/2013 du 28 mars 2014 consid. 5.2; 2C_416/2013 du BGE 140 I 285 S. 299 5 novembre 2013 consid. 10.2.2, non publié in ATF 140 I 68, mais in RDAF 2014 II p. 40; 2C_84/2012 du 15 décembre 2012 consid. 3.1, non publié in ATF 139 IV 137, mais in Pra 2013 n° 76 p. 559); il leur incombe d'étayer leurs propres thèses, de renseigner le juge sur les faits de la cause et de lui indiquer les moyens de preuves disponibles (ATF 128 III 411 consid. 3.2.1 p. 412 ss; arrêt 5A_762/2013 du 27 mars 2014 consid. 4.1), spécialement lorsqu'il s'agit d'élucider des faits qu'elles sont le mieux à même de connaître (arrêts 1C_582/2012 du 9 juillet 2013 consid. 3.1; 2C_1007/2011 du 12 mars 2012 consid. 4.4; 1B_152/2008 du 30 juin 2008 consid. 3.2). En l'absence de collaboration de la partie concernée par de tels faits et d'éléments probants au dossier, l'autorité qui met fin à l'instruction du dossier en considérant qu'un fait ne peut être considéré comme établi, ne tombe ni dans l'arbitraire ni ne viole l'art. 8 CC. Le droit d'être entendu garanti par l'art. 29 al. 2 Cst. comprend notamment le droit pour l'intéressé de produire des preuves pertinentes, d'obtenir qu'il soit donné suite à ses offres de preuves pertinentes, lorsque cela est de nature à influer sur la décision à rendre (ATF 135 II 286 consid. 5.1 p. 293; ATF 135 I 279 consid. 2.3 p. 282). L'autorité peut cependant renoncer à procéder à des mesures d'instruction lorsque les preuves administrées lui ont permis de forger sa conviction et que, procédant d'une manière non arbitraire à une appréciation anticipée des preuves qui lui sont encore proposées, elle a la certitude que ces dernières ne pourraient l'amener à modifier son opinion (ATF 137 III 208 consid. 2.2 p. 210; ATF 134 I 140 consid. 5.2 p. 147 s.; ATF 130 II 425 consid. 2.1 p. 429)."
BGE 137 III 193 E. 2.1,"Wenn die Eltern die Sorge für das Kind vernachlässigen, kann das Gericht gemäss Art. 291 ZGB ihre Schuldner anweisen, die Zahlungen ganz oder zum Teil an den gesetzlichen Vertreter des Kindes zu leisten. Kommt das Gemeinwesen für den Unterhalt des Kindes auf, so geht der Unterhaltsanspruch mit allen Rechten auf das Gemeinwesen über (Art. 289 Abs. 2 ZGB). Dies gilt insbesondere, wenn das Gemeinwesen die Alimente wie vorliegend bevorschusst (Art. 293 Abs. 2 ZGB). Beim Rechtsübergang, wie er in Art. 289 Abs. 2 ZGB vorgesehen ist, handelt es sich um eine Subrogation bzw. Legalzession."
BGE 137 III 539 E. 4.1,"In der Rechtsprechung ist anerkannt, dass auch im Bereich von Arbeitsleistungen unverbindliche Gefälligkeiten vorkommen, die keine Vertragsbindung entstehen lassen. Ob Vertrag oder Gefälligkeit vorliegt, entscheidet sich nach den Umständen des Einzelfalles, insbesondere der Art der Leistung, ihrem Grund und Zweck, ihrer BGE 137 III 539 S. 542 rechtlichen und wirtschaftlichen Bedeutung, den Umständen, unter denen sie erbracht wird und der Interessenlage der Parteien. Für einen Bindungswillen spricht ein eigenes, rechtliches oder wirtschaftliches Interesse der Person, welche die Leistung erbringt, oder ein erkennbares Interesse des Begünstigten an fachkundiger Beratung oder Unterstützung (BGE 129 III 181 E. 3.2; BGE 116 II 695 E. 2b/bb S. 697 f.). Die Vorinstanz stellt zutreffend dar, dass die Gefälligkeit im Unterschied zum Vertrag unentgeltlich, uneigennützig und bei Gelegenheit erfolgt, ohne dass eine rechtsgeschäftliche Verpflichtung zur Leistungserbringung besteht (vgl. KRAMER, Berner Kommentar, N. 63 ff. der Allgemeinen Einleitung in das schweizerische OR, 1986; HONSELL, Schweizerisches Haftpflichtrecht, 4. Aufl. 2005, § 9 N. 38; GAUCH/SCHLUEP/SCHMID, Schweizerisches Obligationenrecht, Allgemeiner Teil, 9. Aufl. 2008, N. 353a/b; HÜRLIMANN-KAUP, Die privatrechtliche Gefälligkeit und ihre Rechtsfolgen, 1999, S. 6; ENGEL, Traité des obligations en droit suisse, 2. Aufl. 1997, S. 221 f.). Als typisches Beispiel für Gefälligkeiten im täglichen Leben wird das Kinderhüten für eine beschränkte Dauer von zwei Stunden unter Freunden angeführt (HÜRLIMANN-KAUP, a.a.O., S. 83)."
